item,accuracy,transactions,countries
"Pulses, nes",0.26282051282051283,2535,79
"Pumpkins, squash and gourds",0.3269961977186312,2610,76
Sweet potatoes,0.26705653021442494,1688,57
"Onions, dry",0.3060796645702306,3303,95
Lemons and limes,0.2992957746478873,1943,61
Oranges,0.2724358974358974,2045,67
Strawberries,0.4463276836158192,2313,58
Peaches and nectarines,0.3531202435312024,2168,59
"Eggs, hen, in shell (number)",0.3316540722082284,3839,115
"Coarse Grain, Total",0.33455882352941174,3569,108
Sheep & Goat Meat,0.3299057412167952,3888,115
"Skins, sheep, fresh",0.30579964850615116,3716,110
Pears,0.4211195928753181,2461,65
"Vegetables, fresh nes",0.3161904761904762,3633,111
Lettuce and chicory,0.44695898161244696,2377,66
Bananas,0.29887218045112784,1787,61
"Milk,Total",0.3215547703180212,3810,114
Barley,0.3578708946772367,2885,78
"Fruit excl Melons,Total",0.31320103537532357,3680,112
"Meat, horse",0.4037433155080214,2486,66
"Meat indigenous, duck",0.3739424703891709,1978,52
Cherries,0.42272727272727273,2175,54
"Tangerines, mandarins, clementines, satsumas",0.3146551724137931,1667,50
"Meat, duck",0.35453100158982515,2110,56
Linseed,0.3707482993197279,2001,51
"Meat, Total",0.3339176161262051,3909,117
"Tobacco, unmanufactured",0.2906091370558376,2677,81
