item,accuracy,transactions,countries
Soybeans,0.28998505231689087,2152,63
Grapes,0.35271317829457366,2507,68
Sugar beet,0.41989881956155145,2053,53
"Chillies and peppers, green",0.32301980198019803,2643,77
"Eggs, hen, in shell",0.3263888888888889,3885,117
Watermelons,0.26628895184135976,2416,72
Wheat,0.36613756613756615,3065,86
Mushrooms and truffles,0.40373563218390807,2267,56
Beef & Buffalo Meat,0.3333333333333333,3857,115
"Rice, paddy",0.2622478386167147,2309,74
"Cereals,Total",0.3089201877934272,3569,108
Berries nes,0.4381443298969072,1998,50
Cauliflowers and broccoli,0.416988416988417,2586,70
"Meat, nes",0.3707482993197279,1929,52
Oilseeds nes,0.2594059405940594,1634,50
"Meat indigenous, pig",0.34479638009049773,3604,105
Cottonseed,0.28363047001620745,1982,63
"Meat indigenous, chicken",0.31925675675675674,3839,115
"Meat, goat",0.29179646936656284,3270,100
Cabbages and other brassicas,0.35208535402521823,3353,96
Garlic,0.26015228426395937,2514,71
"Meat, cattle",0.329102447869447,3857,115
Millet,0.23920265780730898,2043,62
"Milk, whole fresh goat",0.27895392278953923,2664,79
Sugar cane,0.316008316008316,1531,55
"Beans, green",0.4033722438391699,2647,74
